State/Territory,Township,2019 CommBank Deposits ($),2018 CommBank Deposits ($),2017 CommBank Deposits ($),2016 CommBank Deposits ($),2015 CommBank Deposits ($)
New South Wales,Sydney,320726000,148389000,148431000,140068000,117723000
New South Wales,Newcastle–Maitland,1153155000,1054254000,967682000,927072000,800243000
New South Wales,Wollongong,100738000,97210000,96453000,107442000,103908000
New South Wales,Coffs Harbour,30079000,27202000,28600000,47608000,34658000
New South Wales,Wagga Wagga,823009000,866639000,847274000,815157000,777368000
New South Wales,Port Macquarie,14892000,13797000,14103000,14447000,14946000
New South Wales,Tamworth,57535000,57805000,54650000,54086000,52350000
New South Wales,Orange,15349000,16099000,16646000,16520000,17768000
New South Wales,Bowral–Mittagong,173620000,175396000,150072000,159192000,159979000
New South Wales,Dubbo,39925000,39351000,33407000,33348000,30593000
New South Wales,Nowra–Bomaderry,8907492000,8123242000,7979329000,8048180000,6658988000
New South Wales,Bathurst,677274000,638819000,532864000,504934000,461707000
New South Wales,Lismore,132262000,119744000,114024000,112600000,107256000
New South Wales,Nelson Bay,24383000,25293000,26515000,24356000,36796000
New South Wales,Taree,46437000,48189000,82728000,107868000,49366000
New South Wales,Ballina,4684723000,5016863000,5288365000,4486118000,4802102000
New South Wales,Morisset–Cooranbong,480077000,437608000,404668000,383487000,362794000
New South Wales,Armidale,1182267000,1225597000,1166169000,1195594000,877324000
New South Wales,Goulburn,99843000,87516000,87802000,81677000,79677000
New South Wales,Forster–Tuncurry,39393000,54324000,48102000,45552000,46000000
New South Wales,Griffith,266512000,240203000,260899000,252214000,277680000
New South Wales,Grafton,51752000,50277000,52074000,53203000,50972000
New South Wales,St Georges Basin–Sanctuary Point,32290000,27864000,26064000,27802000,26048000
New South Wales,Broken Hill,197054000,238964000,232314000,236973000,227321000
New South Wales,Camden Haven,102890000,91474000,88150000,82681000,75411000
New South Wales,Singleton,202496000,195727000,197765000,191281000,185902000
New South Wales,Batemans Bay,21217000,23933000,24573000,25015000,23879000
New South Wales,Ulladulla,2093140000,1850542000,1772320000,1809134000,1741325000
New South Wales,Kempsey,2919408000,2768766000,2701607000,2458877000,2471906000
New South Wales,Lithgow,41995000,36770000,34628000,34386000,31060000
New South Wales,Muswellbrook,25934000,25832000,29568000,28439000,27029000
New South Wales,Mudgee,93343000,88787000,89562000,96892000,82177000
New South Wales,Parkes,37532000,34787000,33011000,35114000,30031000
