State/Territory,Township,2019 CommBank Deposits ($),2018 CommBank Deposits ($),2017 CommBank Deposits ($),2016 CommBank Deposits ($),2015 CommBank Deposits ($)
Queensland,Brisbane,59795000,59249000,53942000,75149000,72643000
Queensland,Sunshine Coast,30457000,34666000,34792000,31486000,29039000
Queensland,Townsville,70610000,74244000,66298000,64743000,66972000
Queensland,Cairns,45287000,41806000,43384000,42555000,39368000
Queensland,Toowoomba,77466000,70606000,67590000,62703000,57706000
Queensland,Mackay,22905000,19843000,18136000,19727000,19400000
Queensland,Rockhampton,142589000,40568000,51468000,43114000,41912000
Queensland,Bundaberg,63370000,63715000,61214000,58234000,53819000
Queensland,Hervey Bay,614694000,666990000,643917000,638340000,629753000
Queensland,Gladstone–Tannum Sands,854686000,879887000,824319000,831649000,829326000
Queensland,Maryborough,207316000,201003000,214985000,217646000,120714000
Queensland,Gympie,4058393000,4196420000,4140360000,3915970000,4121371000
Queensland,Yeppoon,50513000,33292000,32839000,29870000,26830000
Queensland,Mount Isa,170980000,166496000,155519000,147152000,164793000
Queensland,Warwick,468314000,446330000,420688000,431626000,383980000
Queensland,Emerald,386529000,335155000,319497000,503818000,466559000
Queensland,Kingaroy,779903000,621919000,706421000,644871000,666292000
