State/Territory,Township,2019 CommBank Deposits ($),2018 CommBank Deposits ($),2017 CommBank Deposits ($),2016 CommBank Deposits ($),2015 CommBank Deposits ($)
Western Australia,Perth,28647000,30608000,30787000,32926000,34372000
Western Australia,Bunbury,2556448000,2428291000,2360405000,2220807000,1951517000
Western Australia,Busselton,326092000,309980000,314827000,304878000,254905000
Western Australia,Geraldton,82503000,82325000,89401000,85108000,78916000
Western Australia,Albany,419260000,391764000,375913000,353706000,321802000
Western Australia,Kalgoorlie–Boulder,1877262000,1771920000,1728924000,1678749000,1586908000
Western Australia,Karratha,4673061000,4364335000,4179022000,3942486000,3871206000
Western Australia,Broome,1030507000,1033797000,1150247000,1158914000,1096852000
Western Australia,Port Hedland,2890262000,2573743000,2517754000,2367596000,2355939000
Western Australia,Esperance,155368000,152861000,162726000,176111000,179661000
